Timestamp,Sensor,Value
2024-07-28 05:31:56,Current,255
2024-07-28 05:31:57,Current,258
2024-07-28 05:31:57,Current,258
2024-07-28 05:31:58,Current,257
2024-07-28 05:31:58,Current,265
2024-07-28 05:31:59,Current,281
2024-07-28 05:31:59,Current,281
2024-07-28 05:32:00,Current,282
2024-07-28 05:32:00,Current,281
2024-07-28 05:32:01,Current,281
2024-07-28 05:32:01,Current,281
2024-07-28 05:32:02,Current,282
2024-07-28 05:32:02,Current,281
2024-07-28 05:32:03,Current,281
2024-07-28 05:32:03,Current,280
2024-07-28 05:32:04,Current,282
2024-07-28 05:32:04,Current,280
2024-07-28 05:32:05,Current,279
2024-07-28 05:32:05,Current,281
2024-07-28 05:32:06,Current,282
2024-07-28 05:32:06,Current,282
2024-07-28 05:32:07,Current,284
2024-07-28 05:32:08,Current,284
2024-07-28 05:32:08,Current,282
2024-07-28 05:32:09,Current,282
2024-07-28 05:32:09,Current,279
2024-07-28 05:32:10,Current,279
2024-07-28 05:32:10,Current,281
2024-07-28 05:32:11,Current,281
2024-07-28 05:32:12,Current,282
2024-07-28 05:32:12,Current,282
2024-07-28 05:32:13,Current,281
2024-07-28 05:32:13,Current,281
2024-07-28 05:32:14,Current,281
2024-07-28 05:32:14,Current,281
2024-07-28 05:32:15,Current,283
2024-07-28 05:32:15,Current,283

