Time_Of_Day_Seconds	RAMWatt
1721345222.758927	13.21
1721345222.755424	6.69
1721345222.755452	
1721345222.755480	
1721345222.755504	
1721345222.755513	
1721345222.755524	
1721345222.755590	
1721345222.755604	
1721345222.755626	
1721345222.755635	
1721345222.755647	
1721345222.755655	
1721345222.755665	
1721345222.755674	
1721345222.755752	
1721345222.755777	
1721345222.755888	
1721345222.755924	
1721345222.755984	
1721345222.755998	
1721345222.756087	
1721345222.756116	
1721345222.756182	
1721345222.756197	
1721345222.756209	
1721345222.756220	
1721345222.756334	
1721345222.756363	
1721345222.756501	
1721345222.756524	
1721345222.756582	
1721345222.756596	
1721345222.756709	
1721345222.756729	
1721345222.756754	
1721345222.756765	
1721345222.756905	
1721345222.756919	
1721345222.757038	
1721345222.757083	
1721345222.757096	
1721345222.757105	
1721345222.757113	
1721345222.757124	
1721345222.757135	
1721345222.757143	
1721345222.757247	
1721345222.757261	
1721345222.757280	6.52
1721345222.757292	
1721345222.757312	
1721345222.757320	
1721345222.757331	
1721345222.757339	
1721345222.757350	
1721345222.757358	
1721345222.757369	
1721345222.757376	
1721345222.757387	
1721345222.757396	
1721345222.757450	
1721345222.757460	
1721345222.757469	
1721345222.757477	
1721345222.757488	
1721345222.757496	
1721345222.757570	
1721345222.757587	
1721345222.757609	
1721345222.757617	
1721345222.757627	
1721345222.757635	
1721345222.757646	
1721345222.757654	
1721345222.757737	
1721345222.757764	
1721345222.757826	
1721345222.757854	
1721345222.757917	
1721345222.757942	
1721345222.758086	
1721345222.758113	
1721345222.758231	
1721345222.758259	
1721345222.758343	
1721345222.758367	
1721345222.758424	
1721345222.758439	
1721345222.758554	
1721345222.758582	
1721345222.758708	
1721345222.758722	
1721345222.758803	
1721345222.758817	
1721345222.758913	
1721345222.758927	
Time_Of_Day_Seconds	RAMWatt
1721345223.762380	13.19
1721345223.759204	6.68
1721345223.759216	
1721345223.759227	
1721345223.759236	
1721345223.759245	
1721345223.759255	
1721345223.759264	
1721345223.759274	
1721345223.759283	
1721345223.759293	
1721345223.759304	
1721345223.759312	
1721345223.759321	
1721345223.759330	
1721345223.759342	
1721345223.759351	
1721345223.759362	
1721345223.759371	
1721345223.759381	
1721345223.759391	
1721345223.759402	
1721345223.759412	
1721345223.759421	
1721345223.759431	
1721345223.759505	
1721345223.759528	
1721345223.759540	
1721345223.759550	
1721345223.759604	
1721345223.759629	
1721345223.759713	
1721345223.759734	
1721345223.759746	
1721345223.759779	
1721345223.759866	
1721345223.759878	
1721345223.759974	
1721345223.759988	
1721345223.760008	
1721345223.760017	
1721345223.760026	
1721345223.760036	
1721345223.760044	
1721345223.760057	
1721345223.760071	
1721345223.760079	
1721345223.760176	
1721345223.760199	
1721345223.760215	6.51
1721345223.760226	
1721345223.760238	
1721345223.760328	
1721345223.760400	
1721345223.760425	
1721345223.760488	
1721345223.760514	
1721345223.760570	
1721345223.760597	
1721345223.760658	
1721345223.760685	
1721345223.760694	
1721345223.760703	
1721345223.760757	
1721345223.760782	
1721345223.760846	
1721345223.760873	
1721345223.760935	
1721345223.760959	
1721345223.761014	
1721345223.761040	
1721345223.761104	
1721345223.761129	
1721345223.761212	
1721345223.761236	
1721345223.761313	
1721345223.761327	
1721345223.761422	
1721345223.761436	
1721345223.761533	
1721345223.761547	
1721345223.761633	
1721345223.761646	
1721345223.761720	
1721345223.761742	
1721345223.761822	
1721345223.761844	
1721345223.761914	
1721345223.761928	
1721345223.762027	
1721345223.762041	
1721345223.762145	
1721345223.762159	
1721345223.762255	
1721345223.762280	
1721345223.762366	
1721345223.762380	
Time_Of_Day_Seconds	RAMWatt
1721345224.766884	13.22
1721345224.762745	6.63
1721345224.762774	
1721345224.762848	
1721345224.762877	
1721345224.762951	
1721345224.762979	
1721345224.763082	
1721345224.763111	
1721345224.763185	
1721345224.763214	
1721345224.763290	
1721345224.763314	
1721345224.763373	
1721345224.763400	
1721345224.763462	
1721345224.763484	
1721345224.763606	
1721345224.763644	
1721345224.763706	
1721345224.763727	
1721345224.763785	
1721345224.763799	
1721345224.763876	
1721345224.763901	
1721345224.763911	
1721345224.763919	
1721345224.763928	
1721345224.763936	
1721345224.764031	
1721345224.764044	
1721345224.764206	
1721345224.764229	
1721345224.764314	
1721345224.764328	
1721345224.764349	
1721345224.764357	
1721345224.764367	
1721345224.764376	
1721345224.764384	
1721345224.764394	
1721345224.764562	
1721345224.764573	
1721345224.764674	
1721345224.764690	
1721345224.764773	
1721345224.764787	
1721345224.764916	
1721345224.764930	
1721345224.764992	6.60
1721345224.765016	
1721345224.765028	
1721345224.765035	
1721345224.765045	
1721345224.765053	
1721345224.765063	
1721345224.765076	
1721345224.765088	
1721345224.765675	
1721345224.765685	
1721345224.765693	
1721345224.765761	
1721345224.765770	
1721345224.765779	
1721345224.765787	
1721345224.765798	
1721345224.765805	
1721345224.765815	
1721345224.765823	
1721345224.765831	
1721345224.765841	
1721345224.765851	
1721345224.765858	
1721345224.765869	
1721345224.765876	
1721345224.765961	
1721345224.765988	
1721345224.766048	
1721345224.766061	
1721345224.766150	
1721345224.766177	
1721345224.766239	
1721345224.766253	
1721345224.766329	
1721345224.766343	
1721345224.766366	
1721345224.766374	
1721345224.766447	
1721345224.766461	
1721345224.766594	
1721345224.766623	
1721345224.766705	
1721345224.766727	
1721345224.766787	
1721345224.766809	
1721345224.766870	
1721345224.766884	
Time_Of_Day_Seconds	RAMWatt
1721345225.772023	13.18
1721345225.767167	6.67
1721345225.767198	
1721345225.767274	
1721345225.767303	
1721345225.767382	
1721345225.767411	
