,disk,memory,client,storage,metadata,memoryadmin,diskadmin,admin,nvme1,nvme2
10,225.8636364,227.1463415,224.5813953,112.72,206.9375,280.8571429,275.5227273,280.0909091,252.0714286,252.0714286
9,213.5454545,217.2222222,215.5,112.5555556,201.1,267,268.125,266,251,251
8,209.3333333,217,215,112.8,202.25,258.2,257.5,256.3333333,244.25,244.25
10,207.8975741,207.8975741,207.8975741,112.2605364,201.2417641,256.4502436,256.4502436,256.4502436,245.1455976,245.1455976
9,207.8975741,207.8975741,207.8975741,112.2605364,201.2417641,256.4502436,256.4502436,256.4502436,245.1455976,245.1455976
8,207.8975741,207.8975741,207.8975741,112.2605364,201.2417641,256.4502436,256.4502436,256.4502436,245.1455976,245.1455976
