Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:22:35   3.5   0.0   0.7  95.8   0.0    3   5975  15728    6    2    5 127.67    0.07  65.79   3.71  61.87  0.00 Hz   -N/A-
23:22:36   3.6   0.0   0.7  95.7   0.0    3   5281  15405    0    0    0 127.87    0.07  65.97   3.72  61.91  0.00 Hz   -N/A-
23:22:37   3.5   0.0   0.7  95.8   0.0    3   5365  15239    0    0    0 127.69    0.07  65.84   3.73  61.85  0.00 Hz   -N/A-
23:22:38   3.6   0.0   0.7  95.7   0.0    3   5027  14296    0    0    0 127.76    0.07  65.91   3.73  61.86  0.00 Hz   -N/A-
23:22:39   3.5   0.0   0.6  95.8   0.0    3   5188  15714    0    0    0 127.63    0.07  65.78   3.73  61.85  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:22:40   3.7   0.0   0.7  95.7   0.0    3   5236  15670    0    0    0 127.79    0.07  65.94   3.73  61.85  0.00 Hz   -N/A-
23:22:41   3.2   0.0   0.7  96.1   0.0    2   5428  15315    0    0    0 127.15    0.07  65.29   3.31  61.85  0.00 Hz   -N/A-
23:22:42   1.9   0.0   0.3  97.8   0.0    2   7110  14373    0    0    0 124.14    0.07  62.29   0.15  61.85  0.00 Hz   -N/A-
23:22:43   2.6   0.0   0.5  96.9   0.0    3   6194  14712    0    0    0 125.74    0.07  63.89   1.94  61.85  0.00 Hz   -N/A-
23:22:44   3.6   0.0   0.7  95.7   0.0    3   5314  15718    0    0    0 127.85    0.08  65.97   3.70  61.88  0.00 Hz   -N/A-
23:22:45   3.4   0.0   0.7  95.8   0.0    3   5343  15527    0    0    0 127.56    0.07  65.70   3.70  61.86  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:22:46   3.6   0.0   0.7  95.7   0.0    3   5159  16060    0    0    0 127.92    0.07  66.01   3.71  61.91  0.00 Hz   -N/A-
23:22:47   3.4   0.0   0.7  95.8   0.0    3   5157  13814    0    0    0 127.50    0.07  65.64   3.71  61.85  0.00 Hz   -N/A-
23:22:48   3.7   0.0   0.6  95.7   0.0    3   4107   5073    0    0    0 127.41    0.07  65.58   3.70  61.84  0.00 Hz   -N/A-
23:22:49   3.5   0.0   0.6  95.8   0.0    3   4148   4992    0    0    0 127.19    0.07  65.36   3.70  61.83  0.00 Hz   -N/A-
