Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:12:41   1.9   0.0   0.4  97.8   0.0    3   5862   4160    0    0    0 123.82    0.07  61.94   3.75  61.87  0.00 Hz   -N/A-
23:12:42   1.8   0.0   0.4  97.9   0.0    3   5986   4119    0    0    0 123.59    0.07  61.78   3.76  61.81  0.00 Hz   -N/A-
23:12:43   1.9   0.0   0.4  97.8   0.0    3   6019   4284    0    0    0 123.76    0.07  61.95   3.76  61.81  0.00 Hz   -N/A-
23:12:44   1.8   0.0   0.3  97.9   0.0    3   5995   4123    0    0    0 123.52    0.07  61.72   3.76  61.80  0.00 Hz   -N/A-
23:12:45   1.9   0.0   0.4  97.8   0.0    3   5882   4198    0    0    0 123.76    0.07  61.96   3.76  61.80  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:12:46   1.8   0.0   0.3  97.9   0.0    3   6003   4128    0    0    0 123.55    0.08  61.73   3.77  61.82  0.00 Hz   -N/A-
23:12:47   0.8   0.0   0.1  99.1   0.0    2   7179   4229    0    0    0 121.47    0.07  59.67   1.49  61.80  0.00 Hz   -N/A-
23:12:48   0.0   0.0   0.0 100.0   0.0    2   7926   4084    0    0    0 119.89    0.07  58.08   0.14  61.81  0.00 Hz   -N/A-
23:12:49   0.1   0.0   0.0  99.9   0.0    2   7773   4051    0    0    0 120.20    0.07  58.33   0.14  61.86  0.00 Hz   -N/A-
23:12:50   1.5   0.0   0.3  98.1   0.0    3   6211   4113    0    0    0 123.05    0.07  61.24   3.36  61.81  0.00 Hz   -N/A-
23:12:51   1.9   0.0   0.4  97.8   0.0    3   5995   4298    0    0    0 123.84    0.07  62.03   3.79  61.81  0.00 Hz   -N/A-
23:12:52   1.7   0.0   0.4  97.9   0.0    3   6002   4123    0    0    0 123.52    0.07  61.72   3.78  61.80  0.00 Hz   -N/A-
23:12:53   1.9   0.0   0.4  97.8   0.0    3   5913   4198    0    0    0 123.73    0.07  61.94   3.77  61.80  0.00 Hz   -N/A-
23:12:54   1.8   0.0   0.4  97.9   0.0    3   5998   4120    0    0    0 123.53    0.07  61.71   3.76  61.82  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:12:55   1.9   0.0   0.4  97.8   0.0    3   5967   4272    0    0    0 123.73    0.07  61.93   3.76  61.80  0.00 Hz   -N/A-
23:12:56   1.8   0.0   0.3  97.9   0.0    3   6000   4110    0    0    0 123.53    0.08  61.71   3.76  61.82  0.00 Hz   -N/A-
23:12:57   1.9   0.0   0.4  97.8   0.0    3   5902   4170    0    0    0 123.76    0.07  61.95   3.77  61.81  0.00 Hz   -N/A-
23:12:58   0.2   0.0   0.0  99.8   0.0    2   7720   4086    0    0    0 120.30    0.07  58.49   0.55  61.81  0.00 Hz   -N/A-
23:12:59   1.2   0.0   0.2  98.5   0.0    3   6725   4225    0    0    0 122.48    0.07  60.61   2.41  61.87  0.00 Hz   -N/A-
23:13:00   1.7   0.0   0.4  97.9   0.0    3   6017   4134    0    0    0 123.52    0.07  61.71   3.77  61.81  0.00 Hz   -N/A-
23:13:01   1.9   0.0   0.4  97.8   0.0    3   5889   4177    0    0    0 123.74    0.07  61.94   3.77  61.80  0.00 Hz   -N/A-
23:13:02   1.8   0.0   0.3  97.9   0.0    3   5976   4102    0    0    0 123.49    0.07  61.70   3.76  61.79  0.00 Hz   -N/A-
23:13:03   1.9   0.0   0.4  97.8   0.0    3   6030   4297    0    0    0 123.75    0.07  61.95   3.77  61.81  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:13:04   1.8   0.0   0.3  97.9   0.0    2   6001   4119    0    0    0 123.51    0.07  61.71   3.77  61.80  0.00 Hz   -N/A-
23:13:05   1.8   0.0   0.4  97.8   0.0    3   5924   4215    0    0    0 123.75    0.07  61.94   3.77  61.80  0.00 Hz   -N/A-
23:13:06   1.8   0.0   0.4  97.9   0.0    3   6008   4150    0    0    0 123.53    0.08  61.72   3.78  61.81  0.00 Hz   -N/A-
23:13:07   0.8   0.0   0.2  99.1   0.0    2   7187   4224    0    0    0 121.47    0.07  59.66   1.49  61.81  0.00 Hz   -N/A-
23:13:08   0.0   0.0   0.0 100.0   0.0    1   7932   4093    0    0    0 119.93    0.07  58.06   0.14  61.87  0.00 Hz   -N/A-
23:13:09   0.1   0.0   0.0  99.9   0.0    2   7776   4063    0    0    0 120.14    0.07  58.34   0.14  61.81  0.00 Hz   -N/A-
23:13:10   1.5   0.0   0.3  98.1   0.0    3   6202   4103    0    0    0 123.08    0.07  61.28   3.36  61.80  0.00 Hz   -N/A-
23:13:11   1.9   0.0   0.4  97.8   0.0    3   5973   4237    0    0    0 123.74    0.07  61.93   3.76  61.81  0.00 Hz   -N/A-
23:13:12   1.8   0.0   0.3  97.9   0.0    3   5978   4106    0    0    0 123.50    0.07  61.70   3.76  61.80  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:13:13   1.9   0.0   0.3  97.8   0.0    3   5933   4239    0    0    0 123.73    0.07  61.93   3.76  61.81  0.00 Hz   -N/A-
23:13:14   2.2   0.0   0.6  97.2   0.0    4   5915   9329    0    0    0 126.79    0.07  64.25   3.77  62.54  0.00 Hz   -N/A-
23:13:15   3.0   0.0   1.3  95.7   0.0    4   6080  26658    0    0    0 136.97    0.07  71.52   3.77  65.45  0.00 Hz   -N/A-
23:13:16   2.9   0.0   1.4  95.8   0.0    4   6436  27097    0    0    0 137.65    0.08  71.86   3.77  65.79  0.00 Hz   -N/A-
23:13:17   2.9   0.0   1.4  95.7   0.0    3   6024  24534    1    0    0 138.12    0.07  72.17   3.78  65.94  0.00 Hz   -N/A-
23:13:18   1.4   0.0   1.0  97.6   0.0    2   7701  22317    0    0    0 133.13    0.07  67.83   0.56  65.30  0.00 Hz   -N/A-
23:13:19   2.7   0.0   0.8  96.4   0.0    3   5567  12541    0    0    0 130.00    0.07  66.67   2.44  63.33  0.00 Hz   -N/A-
23:13:20   3.5   0.0   0.7  95.8   0.0    4   4096   4855    0    0    0 127.32    0.07  65.50   3.79  61.82  0.00 Hz   -N/A-
23:13:21   3.7   0.0   0.6  95.7   0.0    4   4059   5131    0    0    0 127.56    0.07  65.74   3.79  61.82  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:13:22   3.5   0.0   0.6  95.9   0.0    4   4096   5055    0    0    0 127.33    0.07  65.52   3.80  61.81  0.00 Hz   -N/A-
23:13:23   3.7   0.0   0.6  95.7   0.0    4   4145   5126    0    0    0 127.57    0.07  65.75   3.80  61.82  0.00 Hz   -N/A-
23:13:24   3.5   0.0   0.6  95.8   0.0    3   4125   5036    0    0    0 127.34    0.07  65.52   3.80  61.81  0.00 Hz   -N/A-
23:13:25   3.7   0.0   0.7  95.7   0.0    4   4016   4963    0    0    0 127.59    0.07  65.77   3.81  61.82  0.00 Hz   -N/A-
23:13:26   3.6   0.0   0.6  95.8   0.0    4   4126   4998    0    0    0 127.49    0.08  65.61   3.82  61.88  0.00 Hz   -N/A-
23:13:27   1.4   0.0   0.2  98.4   0.0    2   6512   4514    0    0    0 122.83    0.07  61.00   1.50  61.82  0.00 Hz   -N/A-
23:13:28   0.0   0.0   0.0 100.0   0.0    1   7983   4109    0    0    0 119.91    0.07  58.09   0.14  61.82  0.00 Hz   -N/A-
23:13:29   1.3   0.0   0.2  98.5   0.0    3   6679   5157    0    0    0 122.86    0.07  60.91   0.14  61.95  0.00 Hz   -N/A-
23:13:30   3.4   0.0   0.6  96.1   0.0    4   4330   4691    0    0    0 127.55    0.07  65.40   3.36  62.16  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:13:31   3.6   0.0   0.7  95.7   0.0    4   4088   5104    0    0    0 127.56    0.07  65.74   3.78  61.82  0.00 Hz   -N/A-
23:13:32   3.5   0.0   0.7  95.8   0.0    3   4104   5055    0    0    0 127.32    0.07  65.51   3.78  61.81  0.00 Hz   -N/A-
23:13:33   3.8   0.0   0.6  95.7   0.0    4   4023   4894    0    0    0 127.55    0.07  65.73   3.77  61.81  0.00 Hz   -N/A-
23:13:34   3.6   0.0   0.6  95.8   0.0    4   4125   4925    0    0    0 127.37    0.07  65.50   3.77  61.88  0.00 Hz   -N/A-
23:13:35   3.3   0.0   1.0  95.7   0.0    4   5152  14932    0    0    0 132.51    0.07  68.72   3.75  63.79  0.00 Hz   -N/A-
23:13:36   3.6   0.0   0.6  95.8   0.0    4   4118   4991    0    0    0 127.43    0.08  65.60   3.77  61.83  0.00 Hz   -N/A-
23:13:37   3.7   0.0   0.6  95.7   0.0    4   3993   4879    0    0    0 127.60    0.07  65.78   3.77  61.82  0.00 Hz   -N/A-
23:13:38   2.0   0.0   0.3  97.6   0.0    2   5966   4527    9    5    9 124.14    0.07  62.27   0.55  61.87  0.00 Hz   -N/A-
23:13:39   3.0   0.0   0.5  96.5   0.0    4   4812   4659    0    0    0 126.21    0.07  64.38   2.42  61.83  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
