Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
06:25:35   1.8   0.0   0.4  97.9   0.0    4   6475   4758   10   10   10 123.31    0.07  61.55   3.66  61.76  0.00 Hz   -N/A-
06:25:36   2.0   0.0   0.4  97.6   0.0    2   6764   5512   23   24   22 123.82    0.07  61.85   3.65  61.96  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
06:25:37   2.5   0.0   0.5  97.1   0.0    3   5773   4874   27   14   29 124.69    0.07  62.90   3.66  61.79  0.00 Hz   -N/A-
06:25:38   3.7   0.0   0.6  95.7   0.0    3   4362   7136    0    0    0 127.31    0.07  65.53   3.68  61.79  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
06:25:39   3.4   0.0   0.8  95.8   0.0    6   5332  13953    5    3    5 127.25    0.06  65.49   3.67  61.76  0.00 Hz   -N/A-
06:25:40   4.5   0.0   2.2  93.3   0.0    5  29992  29863 1913 1277 1912 132.30    0.07  70.38   3.68  61.92  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
06:25:41   3.0   0.0   1.2  95.8   0.0    3  16477  21205  798  539  799 127.75    0.06  65.87   2.10  61.88  0.00 Hz   -N/A-
06:25:42   1.9   0.0   0.4  97.7   0.0    2   7263  13673   27   14   29 124.03    0.06  62.21   0.14  61.83  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
06:25:43   2.5   0.0   0.5  97.0   0.0    3   6191  12963    0    0    0 125.28    0.07  63.52   1.71  61.75  0.00 Hz   -N/A-
06:25:44   3.7   0.0   0.7  95.7   0.0    3   5160  14263    0    0    0 127.51    0.07  65.75   3.67  61.76  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
06:25:45   3.4   0.0   0.7  95.8   0.0    3   5268  14863    0    0    0 127.28    0.06  65.53   3.68  61.75  0.00 Hz   -N/A-
06:25:46   3.6   0.0   0.7  95.7   0.0    3   5075  14237    0    0    0 127.49    0.06  65.75   3.69  61.75  0.00 Hz   -N/A-
