Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:19:27   1.8   0.0   0.4  97.7   0.0    4   6348   4827   10    9   10 121.61    0.07  60.59   3.25  61.02  0.00 Hz   -N/A-
23:19:28   1.9   0.0   0.4  97.8   0.0    3   6576   5083   13   14   12 121.61    0.07  60.47   3.25  61.14  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:19:29   1.8   0.0   0.4  97.8   0.0    2   6109   4454    7    4    9 121.54    0.07  60.53   3.26  61.01  0.00 Hz   -N/A-
23:19:30   1.4   0.0   0.3  98.4   0.0    1   6500   4133    0    0    0 120.60    0.07  59.61   2.49  60.99  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:19:31   0.1   0.0   0.0  99.9   0.0    2   7964   4246    1    1    2 118.44    0.07  57.37   0.09  61.07  0.00 Hz   -N/A-
23:19:32   1.0   0.0   1.8  97.1   0.0    4  23853  21213 1399  933 1397 123.33    0.40  58.40   0.86  64.93  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:19:33   2.4   0.0   2.1  95.5   0.0    4  22534  21293 1416  948 1415 125.80    0.85  60.98   3.24  64.81  0.00 Hz   -N/A-
23:19:34   2.3   0.0   2.0  95.6   0.0    3  22688  21197 1425  949 1427 125.57    0.86  60.76   3.24  64.82  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:19:35   2.4   0.0   2.1  95.5   0.0    3  22850  21381 1422  947 1423 125.72    0.86  60.89   3.23  64.83  0.00 Hz   -N/A-
23:19:36   2.3   0.0   2.1  95.7   0.0    3  22615  20962 1420  948 1420 125.54    0.86  60.71   3.23  64.83  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:19:37   2.5   0.0   2.0  95.5   0.0    3  22519  21047 1424  949 1424 125.70    0.86  60.87   3.24  64.84  0.00 Hz   -N/A-
23:19:38   2.3   0.0   2.1  95.6   0.0    3  22695  21282 1428  951 1429 125.62    0.86  60.74   3.24  64.88  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:19:39   2.4   0.0   2.1  95.5   0.0    3  22644  21224 1423  948 1422 125.73    0.58  60.88   3.25  64.85  0.00 Hz   -N/A-
23:19:40   1.9   0.0   2.0  96.1   0.0    2  23057  21147 1420  947 1421 124.88    0.66  59.99   2.49  64.89  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:19:41   2.0   0.0   2.0  96.0   0.0    3  23749  27317 1429  952 1427 125.23    0.76  60.35   0.13  64.87  0.00 Hz   -N/A-
23:19:42   2.6   0.0   1.8  95.6   0.0    3  19760  26811 1121  748 1123 125.84    0.35  62.05   0.88  63.79  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:19:43   3.6   0.0   0.7  95.7   0.0    3   5156  14329    0    0    0 125.11    0.07  64.08   3.26  61.03  0.00 Hz   -N/A-
23:19:44   3.4   0.0   0.8  95.8   0.0    3   5144  14888    0    0    0 124.98    0.07  63.95   3.25  61.03  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:19:45   3.6   0.0   0.7  95.7   0.0    3   4916  13919    0    0    0 125.10    0.07  64.07   3.23  61.03  0.00 Hz   -N/A-
23:19:46   3.5   0.0   0.7  95.8   0.0    3   5323  14914    0    0    0 124.98    0.07  63.94   3.23  61.03  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:19:47   3.6   0.0   0.7  95.7   0.0    3   5195  14474    0    0    0 125.17    0.07  64.09   3.26  61.08  0.00 Hz   -N/A-
23:19:48   3.5   0.0   0.6  95.8   0.0    3   5390  14988    0    0    0 124.96    0.07  63.93   3.26  61.03  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:19:49   3.6   0.0   0.7  95.7   0.0    3   5101  14663    0    0    0 125.15    0.07  64.12   3.26  61.03  0.00 Hz   -N/A-
23:19:50   3.0   0.0   0.6  96.3   0.0    2   5777  15125    0    0    0 124.25    0.07  63.23   2.49  61.02  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:19:51   1.9   0.0   0.3  97.8   0.0    2   7131  13744    1    0    0 122.01    0.07  60.98   0.11  61.02  0.00 Hz   -N/A-
23:19:52   2.2   0.0   0.4  97.4   0.0    3   6689  13711    0    0    0 122.54    0.07  61.52   0.86  61.02  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:19:53   3.6   0.0   0.7  95.7   0.0    4   5019  13866    0    0    0 125.08    0.07  64.06   3.26  61.02  0.00 Hz   -N/A-
23:19:54   3.5   0.0   0.7  95.8   0.0    3   5097  13609    0    0    0 124.90    0.07  63.89   3.24  61.01  0.00 Hz   -N/A-
