Filesystem,Energy (J)
Disk,-57.81538153
Disk,-25.77674723
Disk,-62.28932589
Memory,180.3896952
Memory,283.087584
Memory,290.3029928
Lustre,1415.938065
Lustre,1881.726026
Lustre,1920.610155
