Filesystem,Energy (J)
Disk,4094.363358
Disk,3257.58281
Disk,3007.274634
Memory,2575.150867
Memory,2404.360211
Memory,2550.821577
Lustre,7764.050521
Lustre,5547.023032
Lustre,8288.68664
