Type,Area
Memory,51735.41666666667
Memory,52862.333333333314
Memory,52389.583333333336
TransferMemory,58401.02777777779
TransferMemory,61290.5
TransferMemory,60894.24999999999
Disk,74992.91666666667
Disk,70748.08333333333
Disk,70057.00000000003
TransferDisk,79542.58333333333
TransferDisk,77623.91666666664
TransferDisk,73616.66666666666
