Filesystem,Energy (J)
Disk,-82.49537627
Disk,-106.1995632
Disk,-83.15566357
Memory,186.1562123
Memory,188.6305221
Memory,210.0183672
DAOS,3153.880185
DAOS,3498.589482
DAOS,3498.085663
