Filesystem,IPMI Area R ,CPU Area R,RAM Area R,IPMI Area W,CPU Area W,RAM Area (J)
Disk ,49.47461847,9467.95641,963.9787281,5711.102658,26254.6527,1997.10052
Disk ,81.51325277,9257.547243,950.9320614,4874.32211,25809.50437,2165.789708
Disk ,45.00067411,9077.18391,853.1353947,4624.013934,21108.18278,2144.289708
Memory,287.6796952,5221.830637,381.9135545,4167.560877,21215.47846,1207.613497
Memory,390.377584,4806.631093,388.6073606,4021.099511,20848.7962,1999.517547
Memory,397.5929928,4354.36171,386.1515273,4191.890167,15398.13118,2016.408538
Lustre,1523.228065,8285.478743,786.7481214,9380.789821,29505.82223,3103.750462
Lustre,1989.016026,8368.093947,814.5283254,7163.762332,27627.11066,3103.049074
Lustre,2027.900155,8342.850681,813.4650981,9905.42594,27674.73933,2343.40381
