0,1,2,3,4,5,6
Disk,10,10000,1443.152051,2.4,138,173.9130435
Memory,10,10000,1293.79152,2.0664,204,101.2941176
DAOS,10,10000,2341.518741,50,195,2564.102564
Disk,9,1000,132.4928475,2.4,138,17.39130435
Memory,9,1000,145.1986196,2.0664,202,10.22970297
DAOS,9,1000,205.109514,50,187,267.3796791
Disk,8,100,19.4371955,2.4,140,1.714285714
Memory,8,100,8.015773467,2.0664,202,1.022970297
DAOS,8,100,69.67772703,50,167,29.94011976
