File Size (bytes),Watts for CPU,PkgWatt,RAMWatt,Time Spent
0,77.12,73.06,8.41,1
1,77.32,74.11,8.57,1
2,76.91,73.46,8.51,1
3,76.72,73.17,8.49,1
4,85.26,87.78,10.8,1
5,72.46,74.13,8.67,1
6,75.99,74.19,8.55,2
7,76.31,72.4,8.57,2
8,97.92,94.64,10.81,2
9,107.7,95.2,11.78,6
10,112.94,102.12,13.45,36
