Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
05:41:03   0.0   0.0   0.0 100.0   0.0    1    411    279    0    0    0  22.31    1.21  11.80   0.83  10.51  19.00  19.00  1.27 GHz  -N/A-
05:41:04   0.0   0.0   0.0 100.0   0.0    1    353    297    0    0    0  22.74    1.19  12.43   0.89  10.31  20.00  19.00  1.32 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
05:41:05   0.0   0.0   0.0 100.0   0.0    1    327    258    0    0    0  22.55    1.24  12.61   0.81   9.94  19.00  19.00  1.38 GHz  -N/A-
05:41:06   0.0   0.0   0.0 100.0   0.0    1    348    234    0    0    0  21.80    1.13  11.83   0.91   9.97  20.00  19.00  1.52 GHz  -N/A-
05:41:07   0.0   0.0   0.0 100.0   0.0    1    378    253    0    0    0  21.11    1.13  11.44   0.75   9.67  20.00  19.00  1.19 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
05:41:08   0.0   0.0   0.0 100.0   0.0    1    302    217    0    0    0  21.07    1.03  11.53   0.67   9.54  19.00  19.00  1.65 GHz  -N/A-
05:41:09   0.0   0.0   0.0 100.0   0.0    1    400    234    0    0    0  20.83    1.04  11.29   0.69   9.54  19.00  19.00  1.18 GHz  -N/A-
05:41:10   0.0   0.0   0.0 100.0   0.0    1    351    309    1    1    1  22.85    1.28  12.05   0.97  10.80  19.00  20.00  1.40 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
05:41:11   0.0   0.0   0.0 100.0   0.0    1    388    253    0    0    0  21.51    1.14  11.89   0.74   9.62  19.00  19.00  1.23 GHz  -N/A-
05:41:12   0.0   0.0   0.0 100.0   0.0    1    288    194    0    0    0  20.90    1.07  11.47   0.66   9.43  19.00  19.00  1.41 GHz  -N/A-
05:41:13   0.0   0.0   0.0 100.0   0.0    1    323    200    0    0    0  19.87    0.99  10.87   0.46   9.00  19.00  19.00  1.42 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
05:41:14   0.0   0.0   0.0 100.0   0.0    1    293    237    0    0    0  20.86    1.14  11.12   0.68   9.74  19.00  19.00  1.44 GHz  -N/A-
05:41:15   0.0   0.0   0.0 100.0   0.0    1    449    340    0    0    0  24.13    1.39  13.05   1.21  11.08  20.00  20.00  1.24 GHz  -N/A-
05:41:16   0.0   0.0   0.0 100.0   0.0    1    292    213    0    0    0  20.20    1.05  10.60   0.67   9.60  19.00  19.00  1.44 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
05:41:17   0.0   0.0   0.0 100.0   0.0    1    318    255    0    0    0  20.96    1.08  11.40   0.75   9.56  19.00  19.00  1.34 GHz  -N/A-
05:41:18   0.0   0.0   0.0 100.0   0.0    1    367    251    0    0    0  22.61    1.20  12.26   0.94  10.36  19.00  19.00  1.44 GHz  -N/A-
05:41:19   0.0   0.0   0.0 100.0   0.0    1    414    288    0    0    0  21.72    1.19  11.88   0.84   9.85  19.00  19.00  1.16 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
05:41:20   0.0   0.0   0.0 100.0   0.0    1    404    339    0    0    0  24.21    1.48  12.90   1.14  11.31  19.00  19.00  1.46 GHz  -N/A-
05:41:21   0.0   0.0   0.0 100.0   0.0    1    312    209    0    0    0  20.48    0.99  11.10   0.70   9.39  19.00  19.00  1.39 GHz  -N/A-
05:41:22   0.0   0.0   0.0 100.0   0.0    1    300    221    0    0    0  21.59    1.19  11.81   0.80   9.78  19.00  19.00  1.36 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
05:41:23   0.0   0.0   0.0 100.0   0.0    1    440    274    0    0    0  22.18    1.15  12.35   0.80   9.82  19.00  19.00  1.15 GHz  -N/A-
05:41:24   0.0   0.0   0.0 100.0   0.0    1    327    231    0    0    0  21.67    1.13  12.08   0.68   9.58  19.00  19.00  1.46 GHz  -N/A-
05:41:25   0.0   0.0   0.0 100.0   0.0    2    311    274    0    0    0  21.73    1.15  11.82   0.80   9.91  19.00  19.00  1.39 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
05:41:26   0.0   0.0   0.1  99.9   0.0    1    394    611    8    4    8  23.68    1.46  12.33   1.03  11.34  19.00  19.00  1.92 GHz  -N/A-
05:41:27   0.0   0.0   0.0 100.0   0.0    1    422    276    0    0    0  21.25    1.08  11.15   0.74  10.10  19.00  19.00  1.21 GHz  -N/A-
05:41:28   0.0   0.0   0.0 100.0   0.0    1    321    216    0    0    0  21.36    1.07  11.39   0.70   9.96  19.00  19.00  1.32 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
05:41:29   0.0   0.0   0.0 100.0   0.0    1    304    218    0    0    0  21.11    1.01  11.70   0.72   9.41  19.00  19.00  1.40 GHz  -N/A-
05:41:30   0.0   0.0   0.0 100.0   0.0    1    334    255    0    0    0  22.33    1.24  12.48   0.72   9.85  19.00  19.00  1.48 GHz  -N/A-
05:41:31   0.0   0.0   0.0 100.0   0.0    1    394    245    0    0    0  20.65    1.04  11.45   0.59   9.19  19.00  19.00  1.24 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
05:41:32   0.0   0.0   0.0 100.0   0.0    1    287    217    0    0    0  21.92    1.10  12.04   0.71   9.88  19.00  19.00  1.49 GHz  -N/A-
05:41:33   0.0   0.0   0.0 100.0   0.0    1    296    211    0    0    0  20.77    0.92  11.41   0.66   9.36  19.00  19.00  1.48 GHz  -N/A-
05:41:34   0.0   0.0   0.0 100.0   0.0    1    403    265    0    0    0  22.64    1.21  12.14   0.98  10.50  19.00  19.00  1.25 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
