Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
17:19:54   0.0   0.0   0.0 100.0   0.0    1    295    222    0    0    0  23.12    1.33  12.71   0.76  10.41  23.00  22.00  1.45 GHz  -N/A-
17:19:55   0.0   0.0   0.0 100.0   0.0    1    405    312    0    0    0  24.92    1.53  13.99   1.13  10.93  23.00  22.00  1.22 GHz  -N/A-
17:19:56   0.0   0.0   0.0 100.0   0.0    2    313    218    0    0    0  22.04    1.17  12.20   0.76   9.84  23.00  22.00  1.43 GHz  -N/A-
17:19:57   0.0   0.0   0.0 100.0   0.0    1    309    227    0    0    0  22.93    1.30  13.09   0.78   9.84  23.00  22.00  1.34 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
17:19:58   0.0   0.0   0.0 100.0   0.0    2    272    212    0    0    0  22.96    1.25  12.95   0.81  10.01  23.00  22.00  1.37 GHz  -N/A-
17:19:59   0.0   0.0   0.0 100.0   0.0    1    377    284    0    0    0  24.03    1.43  13.37   0.98  10.67  23.00  22.00  1.31 GHz  -N/A-
17:20:00   0.0   0.0   0.0 100.0   0.0    1    351    318    0    0    0  25.94    1.62  13.79   1.26  12.15  23.00  22.00  1.56 GHz  -N/A-
17:20:01   0.0   0.0   0.0 100.0   0.0    1    314    236    0    0    0  22.74    1.31  12.28   0.78  10.46  23.00  22.00  1.29 GHz  -N/A-
17:20:02   0.0   0.0   0.0 100.0   0.0    2    320    252    0    0    0  24.46    1.37  13.56   1.05  10.90  23.00  22.00  1.38 GHz  -N/A-
17:20:03   0.0   0.0   0.0 100.0   0.0    1    388    314    0    0    0  25.28    1.50  13.85   1.19  11.43  23.00  22.00  1.24 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
17:20:04   0.0   0.0   0.0 100.0   0.0    2    322    308    0    0    0  24.93    1.57  13.70   1.03  11.23  23.00  22.00  1.36 GHz  -N/A-
17:20:05   0.0   0.0   0.0 100.0   0.0    1    285    238    0    0    0  23.27    1.33  12.74   0.88  10.52  23.00  22.00  1.43 GHz  -N/A-
17:20:06   0.0   0.0   0.0 100.0   0.0    2    349    318    0    0    0  25.90    1.71  14.02   1.33  11.88  23.00  22.00  1.26 GHz  -N/A-
17:20:07   0.0   0.0   0.0 100.0   0.0    1    439    308    0    0    0  23.76    1.50  13.12   1.05  10.64  23.00  22.00  1.22 GHz  -N/A-
17:20:08   0.0   0.0   0.0 100.0   0.0    2    299    263    0    0    0  24.49    1.45  13.25   1.08  11.23  23.00  22.00  1.43 GHz  -N/A-
17:20:09   0.0   0.0   0.0 100.0   0.0    1    295    244    0    0    0  23.45    1.27  12.88   0.93  10.57  23.00  22.00  1.40 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
17:20:10   0.0   0.0   0.0 100.0   0.0    2    309    272    0    0    0  24.48    1.60  13.47   1.09  11.01  23.00  22.00  1.38 GHz  -N/A-
17:20:11   0.0   0.0   0.0 100.0   0.0    1    497    345    0    0    0  23.95    1.49  12.99   1.15  10.96  23.00  22.00  1.24 GHz  -N/A-
17:20:12   0.0   0.0   0.0 100.0   0.0    2    316    257    0    0    0  23.79    1.48  13.11   0.96  10.68  23.00  22.00  1.35 GHz  -N/A-
17:20:13   0.0   0.0   0.0 100.0   0.0    1    320    245    0    0    0  22.63    1.32  12.56   0.83  10.07  22.00  22.00  1.57 GHz  -N/A-
17:20:14   0.0   0.0   0.0 100.0   0.0    2    299    272    0    0    0  23.97    1.50  13.36   0.92  10.61  23.00  22.00  1.51 GHz  -N/A-
17:20:15   0.0   0.0   0.0 100.0   0.0    1    415    293    0    0    0  23.38    1.43  12.72   1.00  10.67  23.00  22.00  1.37 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
17:20:16   0.0   0.0   0.0 100.0   0.0    2    380    293    0    0    0  23.80    1.44  13.10   0.89  10.70  23.00  22.00  1.22 GHz  -N/A-
17:20:17   0.0   0.0   0.0 100.0   0.0    1    297    220    0    0    0  22.50    1.34  12.38   0.75  10.12  23.00  22.00  1.35 GHz  -N/A-
17:20:18   0.0   0.0   0.0 100.0   0.0    2    298    232    0    0    0  22.81    1.49  12.34   0.85  10.48  23.00  22.00  1.39 GHz  -N/A-
17:20:19   0.0   0.0   0.0 100.0   0.0    1    456    308    0    0    0  23.09    1.42  12.60   1.03  10.50  23.00  22.00  1.27 GHz  -N/A-
17:20:20   0.0   0.0   0.0 100.0   0.0    2    284    248    0    0    0  23.04    1.41  12.27   0.95  10.76  22.00  22.00  1.40 GHz  -N/A-
17:20:21   0.0   0.0   0.0 100.0   0.0    1    346    262    0    0    0  23.94    1.45  13.42   0.91  10.51  23.00  21.00  1.32 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
17:20:22   0.0   0.0   0.0 100.0   0.0    1    311    268    0    0    0  23.90    1.45  12.87   1.10  11.03  22.00  22.00  1.29 GHz  -N/A-
17:20:23   0.0   0.0   0.0 100.0   0.0    1    406    308    0    0    0  23.56    1.41  12.96   0.99  10.60  23.00  22.00  1.16 GHz  -N/A-
17:20:24   0.0   0.0   0.0 100.0   0.0    2    279    237    0    0    0  23.69    1.39  13.20   0.94  10.49  23.00  22.00  1.35 GHz  -N/A-
17:20:25   0.0   0.0   0.0 100.0   0.0    1    299    234    0    0    0  23.66    1.31  13.06   0.95  10.59  22.00  22.00  1.59 GHz  -N/A-
17:20:26   0.0   0.0   0.0 100.0   0.0    2    337    277    0    0    0  23.70    1.39  12.82   0.99  10.88  23.00  22.00  1.27 GHz  -N/A-
17:20:27   0.0   0.0   0.0 100.0   0.0    1    391    286    0    0    0  23.90    1.40  13.29   0.99  10.61  22.00  22.00  1.24 GHz  -N/A-
