Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
23:44:02   0.0   0.0   0.0 100.0   0.0    2   1219    510   15    0   13  22.05    1.33  11.56   0.88  10.49  20.00  20.00  1.69 GHz  -N/A-
23:44:03   0.0   0.0   0.0 100.0   0.0    2    402    281    0    0    0  22.75    1.33  12.53   0.99  10.22  20.00  20.00  1.19 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
23:44:04   0.0   0.0   0.0 100.0   0.0    2    295    268    0    0    0  22.55    1.27  12.20   0.90  10.35  20.00  20.00  1.53 GHz  -N/A-
23:44:05   0.0   0.0   0.0 100.0   0.0    2    265    210    0    0    0  20.89    1.14  11.26   0.72   9.63  20.00  20.00  1.63 GHz  -N/A-
23:44:06   0.0   0.0   0.0 100.0   0.0    2    327    206    0    0    0  21.32    1.16  11.77   0.71   9.54  20.00  20.00  1.41 GHz  -N/A-
23:44:07   0.0   0.0   0.0 100.0   0.0    2    401    260    0    0    0  22.56    1.28  12.46   0.95  10.10  19.00  20.00  1.30 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
23:44:08   0.0   0.0   0.0 100.0   0.0    2    279    235    0    0    0  23.46    1.42  12.91   1.02  10.55  19.00  20.00  1.69 GHz  -N/A-
23:44:09   0.0   0.0   0.0 100.0   0.0    2    277    182    0    0    0  21.66    1.14  12.16   0.68   9.50  20.00  20.00  1.59 GHz  -N/A-
23:44:10   0.0   0.0   0.0 100.0   0.0    2    246    169    0    0    0  20.36    1.02  11.13   0.60   9.23  20.00  20.00  1.59 GHz  -N/A-
23:44:11   0.0   0.0   0.0 100.0   0.0    2    417    292    0    0    0  23.67    1.47  12.98   1.03  10.69  19.00  20.00  1.34 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
23:44:12   0.0   0.0   0.0 100.0   0.0    2   1193    679    6    0   11  24.73    1.52  13.23   1.23  11.51  20.00  20.00  1.90 GHz  -N/A-
